Ensembl Gene ID	Description	MGI symbol
ENSMUSG00000055494	predicted gene 14168 [Source:MGI Symbol;Acc:MGI:3651463]	Gm14168
ENSMUSG00000084217	predicted gene 15488 [Source:MGI Symbol;Acc:MGI:3705835]	Gm15488
ENSMUSG00000063953	S-adenosylmethionine decarboxylase 2 [Source:MGI Symbol;Acc:MGI:1333111]	Amd2
ENSMUSG00000095762	predicted gene 16378 [Source:MGI Symbol;Acc:MGI:3646886]	Gm16378
ENSMUSG00000086480	predicted gene 15287 [Source:MGI Symbol;Acc:MGI:3705156]	Gm15287
ENSMUSG00000069862	ribosomal protein S12, pseudogene 9 [Source:MGI Symbol;Acc:MGI:3704324]	Rps12-ps9
ENSMUSG00000029130	ring finger protein 32 [Source:MGI Symbol;Acc:MGI:1861747]	Rnf32
ENSMUSG00000085204	predicted gene 15327 [Source:MGI Symbol;Acc:MGI:3705295]	Gm15327
ENSMUSG00000085030	RIKEN cDNA 2810455O05 gene [Source:MGI Symbol;Acc:MGI:1920072]	2810455O05Rik
ENSMUSG00000082417	predicted gene 13740 [Source:MGI Symbol;Acc:MGI:3649209]	Gm13740
ENSMUSG00000086861	predicted gene 15325 [Source:MGI Symbol;Acc:MGI:3705151]	Gm15325
ENSMUSG00000042642	RFad1, flavin adenine dinucleotide synthetase, homolog (yeast) [Source:MGI Symbol;Acc:MGI:2443030]	Flad1
ENSMUSG00000083911	predicted gene 4342 [Source:MGI Symbol;Acc:MGI:3782526]	Gm4342
ENSMUSG00000074158	RIKEN cDNA 9830147E19 gene [Source:MGI Symbol;Acc:MGI:3036263]	9830147E19Rik
ENSMUSG00000081132	predicted gene 13744 [Source:MGI Symbol;Acc:MGI:3650801]	Gm13744
ENSMUSG00000053244	predicted gene 9901 [Source:MGI Symbol;Acc:MGI:3708797]	Gm9901
ENSMUSG00000097859		
ENSMUSG00000083122	predicted gene 15578 [Source:MGI Symbol;Acc:MGI:3783026]	Gm15578
ENSMUSG00000083688	predicted gene 13743 [Source:MGI Symbol;Acc:MGI:3650802]	Gm13743
ENSMUSG00000082428	predicted gene 13742 [Source:MGI Symbol;Acc:MGI:3650803]	Gm13742
ENSMUSG00000074437	defensin, alpha, related sequence 1 [Source:MGI Symbol;Acc:MGI:94881]	Defa-rs1
ENSMUSG00000097009		
ENSMUSG00000086057	predicted gene 15324 [Source:MGI Symbol;Acc:MGI:3705211]	Gm15324
ENSMUSG00000001986	glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]	Gria3
ENSMUSG00000038582	PTC7 protein phosphatase homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2444593]	Pptc7
ENSMUSG00000089745	RIKEN cDNA 1810008B01 gene [Source:MGI Symbol;Acc:MGI:1916312]	1810008B01Rik
ENSMUSG00000090018	predicted gene 13741 [Source:MGI Symbol;Acc:MGI:3713291]	Gm13741
ENSMUSG00000022203	embryonal Fyn-associated substrate [Source:MGI Symbol;Acc:MGI:105311]	Efs
ENSMUSG00000048540	nescient helix loop helix 2 [Source:MGI Symbol;Acc:MGI:97324]	Nhlh2
ENSMUSG00000044499	heparan sulfate (glucosamine) 3-O-sulfotransferase 5 [Source:MGI Symbol;Acc:MGI:2441996]	Hs3st5
ENSMUSG00000069727	predicted gene 5595 [Source:MGI Symbol;Acc:MGI:3648690]	Gm5595
ENSMUSG00000042292	MKL (megakaryoblastic leukemia)/myocardin-like 1 [Source:MGI Symbol;Acc:MGI:2384495]	Mkl1
ENSMUSG00000097715		
ENSMUSG00000082227	olfactory receptor 1144, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030978]	Olfr1144-ps1
ENSMUSG00000069796	predicted gene 11426 [Source:MGI Symbol;Acc:MGI:3651541]	Gm11426
ENSMUSG00000035187	NK6 homeobox 1 [Source:MGI Symbol;Acc:MGI:1206039]	Nkx6-1
ENSMUSG00000096295	defensin, alpha, 2 [Source:MGI Symbol;Acc:MGI:94882]	Defa2
ENSMUSG00000026078	phosducin-like 3 [Source:MGI Symbol;Acc:MGI:1916083]	Pdcl3
ENSMUSG00000091594	predicted gene 17067 [Source:MGI Symbol;Acc:MGI:4937894]	Gm17067
ENSMUSG00000094362	predicted gene, 21002 [Source:MGI Symbol;Acc:MGI:5434357]	Gm21002
ENSMUSG00000095144	predicted gene 17067 [Source:MGI Symbol;Acc:MGI:4937894]	Gm17067
ENSMUSG00000097838		
ENSMUSG00000092311	vomeronasal 1 receptor, pseudogene 26 [Source:MGI Symbol;Acc:MGI:2148532]	Vmn1r-ps26
ENSMUSG00000094662	predicted gene, 21498 [Source:MGI Symbol;Acc:MGI:5434853]	Gm21498
ENSMUSG00000092237	vomeronasal 1 receptor, pseudogene 27 [Source:MGI Symbol;Acc:MGI:2148533]	Vmn1r-ps27
ENSMUSG00000097461		
ENSMUSG00000092228	vomeronasal 1 receptor, pseudogene 28 [Source:MGI Symbol;Acc:MGI:2148534]	Vmn1r-ps28
ENSMUSG00000091926	vomeronasal 2, receptor 62 [Source:MGI Symbol;Acc:MGI:3757994]	Vmn2r62
ENSMUSG00000086111	predicted gene 15326 [Source:MGI Symbol;Acc:MGI:3705205]	Gm15326
ENSMUSG00000083203	predicted gene 11421 [Source:MGI Symbol;Acc:MGI:3651332]	Gm11421
ENSMUSG00000092303	vomeronasal 1 receptor, pseudogene 29 [Source:MGI Symbol;Acc:MGI:3852367]	Vmn1r-ps29
ENSMUSG00000079114	predicted gene 7849 [Source:MGI Symbol;Acc:MGI:3645033]	Gm7849
ENSMUSG00000005262	ubiquitin fusion degradation 1 like [Source:MGI Symbol;Acc:MGI:109353]	Ufd1l
ENSMUSG00000083371	predicted gene 11422 [Source:MGI Symbol;Acc:MGI:3651333]	Gm11422
ENSMUSG00000092450	vomeronasal 1 receptor, pseudogene 31 [Source:MGI Symbol;Acc:MGI:3852370]	Vmn1r-ps31
ENSMUSG00000097151		
ENSMUSG00000081828	predicted gene 11420 [Source:MGI Symbol;Acc:MGI:3649517]	Gm11420
ENSMUSG00000092588	predicted gene 20534 [Source:MGI Symbol;Acc:MGI:5141999]	Gm20534
ENSMUSG00000061843	vomeronasal 1 receptor, pseudogene 32 [Source:MGI Symbol;Acc:MGI:3646782]	Vmn1r-ps32
ENSMUSG00000030744	ribosomal protein S3 [Source:MGI Symbol;Acc:MGI:1350917]	Rps3
ENSMUSG00000096932		
ENSMUSG00000086708	predicted gene 15577 [Source:MGI Symbol;Acc:MGI:3783025]	Gm15577
ENSMUSG00000031780	chemokine (C-C motif) ligand 17 [Source:MGI Symbol;Acc:MGI:1329039]	Ccl17
ENSMUSG00000083185	olfactory receptor 1146, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030980]	Olfr1146-ps1
ENSMUSG00000084235	predicted gene 15421 [Source:MGI Symbol;Acc:MGI:3705475]	Gm15421
ENSMUSG00000096850	predicted gene, 21748 [Source:MGI Symbol;Acc:MGI:5433912]	Gm21748
ENSMUSG00000025076	caspase 7 [Source:MGI Symbol;Acc:MGI:109383]	Casp7
ENSMUSG00000095326	predicted gene, 21742 [Source:MGI Symbol;Acc:MGI:5433906]	Gm21742
ENSMUSG00000028177	RIKEN cDNA 1810013D15 gene [Source:MGI Symbol;Acc:MGI:1916292]	1810013D15Rik
ENSMUSG00000081855	ribosomal protein L17, pseudogene 5 [Source:MGI Symbol;Acc:MGI:3704246]	Rpl17-ps5
ENSMUSG00000097752		
ENSMUSG00000056888	GLI pathogenesis-related 1 (glioma) [Source:MGI Symbol;Acc:MGI:1920940]	Glipr1
ENSMUSG00000084940	predicted gene 15935 [Source:MGI Symbol;Acc:MGI:3801894]	Gm15935
ENSMUSG00000044544	RIKEN cDNA 4921513I03 gene [Source:MGI Symbol;Acc:MGI:1918124]	4921513I03Rik
ENSMUSG00000091749	testis specific protein-Y encoded, pseudogene [Source:MGI Symbol;Acc:MGI:1201688]	Tspy-ps
ENSMUSG00000089820	predicted gene 15775 [Source:MGI Symbol;Acc:MGI:3783216]	Gm15775
ENSMUSG00000073723	predicted gene 13102 [Source:MGI Symbol;Acc:MGI:3703005]	Gm13102
ENSMUSG00000060879	predicted pseudogene 6564 [Source:MGI Symbol;Acc:MGI:3647928]	Gm6564
ENSMUSG00000097373		
ENSMUSG00000040770	interleukin 25 [Source:MGI Symbol;Acc:MGI:2155888]	Il25
ENSMUSG00000092247	predicted gene 20426 [Source:MGI Symbol;Acc:MGI:5141891]	Gm20426
ENSMUSG00000086697	RIKEN cDNA 4933427G23 gene [Source:MGI Symbol;Acc:MGI:3036235]	4933427G23Rik
ENSMUSG00000024130	ATP-binding cassette, sub-family A (ABC1), member 3 [Source:MGI Symbol;Acc:MGI:1351617]	Abca3
ENSMUSG00000097622		
ENSMUSG00000092225	predicted gene 2381 [Source:MGI Symbol;Acc:MGI:3780549]	Gm2381
ENSMUSG00000026077	neuronal PAS domain protein 2 [Source:MGI Symbol;Acc:MGI:109232]	Npas2
ENSMUSG00000090118	predicted gene 16163 [Source:MGI Symbol;Acc:MGI:3833836]	Gm16163
ENSMUSG00000071068	triggering receptor expressed on myeloid cells-like 2 [Source:MGI Symbol;Acc:MGI:2147038]	Treml2
ENSMUSG00000020300	cytoplasmic polyadenylation element binding protein 4 [Source:MGI Symbol;Acc:MGI:1914829]	Cpeb4
ENSMUSG00000035057	RIKEN cDNA 4933434I20 gene [Source:MGI Symbol;Acc:MGI:1914805]	4933434I20Rik
ENSMUSG00000097966		
ENSMUSG00000096438	predicted gene, 20899 [Source:MGI Symbol;Acc:MGI:5434255]	Gm20899
ENSMUSG00000086694	predicted gene 16237 [Source:MGI Symbol;Acc:MGI:3802105]	Gm16237
ENSMUSG00000027861	calsequestrin 2 [Source:MGI Symbol;Acc:MGI:1309469]	Casq2
ENSMUSG00000019932	keratocan [Source:MGI Symbol;Acc:MGI:1202398]	Kera
ENSMUSG00000098194		
ENSMUSG00000040759	CKLF-like MARVEL transmembrane domain containing 5 [Source:MGI Symbol;Acc:MGI:2447164]	Cmtm5
ENSMUSG00000089810	predicted gene 16536 [Source:MGI Symbol;Acc:MGI:4414956]	Gm16536
ENSMUSG00000095013	predicted gene, 21920 [Source:MGI Symbol;Acc:MGI:5434084]	Gm21920
ENSMUSG00000081071	predicted pseudogene 9836 [Source:MGI Symbol;Acc:MGI:3642194]	Gm9836
ENSMUSG00000097326		
ENSMUSG00000094019	predicted gene, 21889 [Source:MGI Symbol;Acc:MGI:5434053]	Gm21889
ENSMUSG00000090751	vomeronasal 2, receptor 63 [Source:MGI Symbol;Acc:MGI:3647107]	Vmn2r63
ENSMUSG00000079797	predicted gene, 21784 [Source:MGI Symbol;Acc:MGI:5433948]	Gm21784
ENSMUSG00000086729	predicted gene 15589 [Source:MGI Symbol;Acc:MGI:3783037]	Gm15589
ENSMUSG00000094070	predicted gene, 21728 [Source:MGI Symbol;Acc:MGI:5433892]	Gm21728
ENSMUSG00000097059		
ENSMUSG00000031781	cytokine induced apoptosis inhibitor 1 [Source:MGI Symbol;Acc:MGI:1922083]	Ciapin1
ENSMUSG00000051003	olfactory receptor 161 [Source:MGI Symbol;Acc:MGI:3032605]	Olfr161
ENSMUSG00000029330	CDP-diacylglycerol synthase 1 [Source:MGI Symbol;Acc:MGI:1921846]	Cds1
ENSMUSG00000020652	centromere protein O [Source:MGI Symbol;Acc:MGI:1923800]	Cenpo
ENSMUSG00000045318	adrenergic receptor, alpha 2c [Source:MGI Symbol;Acc:MGI:87936]	Adra2c
ENSMUSG00000086769	predicted gene 15587 [Source:MGI Symbol;Acc:MGI:3783035]	Gm15587
ENSMUSG00000074373	predicted gene 10680 [Source:MGI Symbol;Acc:MGI:3704335]	Gm10680
ENSMUSG00000080806	predicted gene 13005 [Source:MGI Symbol;Acc:MGI:3650102]	Gm13005
ENSMUSG00000097495		
ENSMUSG00000027076	translocase of inner mitochondrial membrane 10 [Source:MGI Symbol;Acc:MGI:1353429]	Timm10
ENSMUSG00000003283	hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]	Hck
ENSMUSG00000009214	transmembrane protein 8C [Source:MGI Symbol;Acc:MGI:1913389]	Tmem8c
ENSMUSG00000097361		
ENSMUSG00000067438	H6 homeobox 1 [Source:MGI Symbol;Acc:MGI:107178]	Hmx1
ENSMUSG00000035818	pleckstrin homology domain containing, family S member 1 [Source:MGI Symbol;Acc:MGI:2443041]	Plekhs1
ENSMUSG00000029775	kelch domain containing 10 [Source:MGI Symbol;Acc:MGI:1924038]	Klhdc10
ENSMUSG00000019936	epiphycan [Source:MGI Symbol;Acc:MGI:107942]	Epyc
ENSMUSG00000038165	RIKEN cDNA 1700022A21 gene [Source:MGI Symbol;Acc:MGI:1919502]	1700022A21Rik
ENSMUSG00000005362	cereblon [Source:MGI Symbol;Acc:MGI:1913277]	Crbn
ENSMUSG00000097717		
ENSMUSG00000028453	Fanconi anemia, complementation group G [Source:MGI Symbol;Acc:MGI:1926471]	Fancg
ENSMUSG00000022534	Mediterranean fever [Source:MGI Symbol;Acc:MGI:1859396]	Mefv
ENSMUSG00000087314	predicted gene 15552 [Source:MGI Symbol;Acc:MGI:3783001]	Gm15552
ENSMUSG00000043740	RIKEN cDNA B430306N03 gene [Source:MGI Symbol;Acc:MGI:2443478]	B430306N03Rik
ENSMUSG00000001034	mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347]	Mapk7
ENSMUSG00000097399		
ENSMUSG00000031970	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:MGI Symbol;Acc:MGI:1919435]	Dbndd1
ENSMUSG00000091528	predicted gene 9268 [Source:MGI Symbol;Acc:MGI:3646456]	Gm9268
ENSMUSG00000086446	RIKEN cDNA 4933426D04 gene [Source:MGI Symbol;Acc:MGI:1918411]	4933426D04Rik
ENSMUSG00000030091	nucleoporin 210 [Source:MGI Symbol;Acc:MGI:1859555]	Nup210
ENSMUSG00000033788	dysferlin [Source:MGI Symbol;Acc:MGI:1349385]	Dysf
ENSMUSG00000010505	myelin transcription factor 1 [Source:MGI Symbol;Acc:MGI:1100535]	Myt1
ENSMUSG00000090258	churchill domain containing 1 [Source:MGI Symbol;Acc:MGI:1923684]	Churc1
ENSMUSG00000082149	predicted gene 13002 [Source:MGI Symbol;Acc:MGI:3650101]	Gm13002
ENSMUSG00000086118	predicted gene 14169 [Source:MGI Symbol;Acc:MGI:3651156]	Gm14169
ENSMUSG00000085175	predicted gene 11423 [Source:MGI Symbol;Acc:MGI:3651335]	Gm11423
ENSMUSG00000042763	mannosidase, endo-alpha-like [Source:MGI Symbol;Acc:MGI:2684896]	Maneal
ENSMUSG00000097502		
ENSMUSG00000036596	carboxypeptidase Z [Source:MGI Symbol;Acc:MGI:88487]	Cpz
ENSMUSG00000087508	predicted gene 14174 [Source:MGI Symbol;Acc:MGI:3650931]	Gm14174
ENSMUSG00000082919	predicted gene 12641 [Source:MGI Symbol;Acc:MGI:3649567]	Gm12641
ENSMUSG00000083498	predicted gene 14172 [Source:MGI Symbol;Acc:MGI:3650935]	Gm14172
ENSMUSG00000082325	predicted gene 12642 [Source:MGI Symbol;Acc:MGI:3649275]	Gm12642
ENSMUSG00000043833	RIKEN cDNA 2900005J15 gene [Source:MGI Symbol;Acc:MGI:1914511]	2900005J15Rik
ENSMUSG00000097242		
ENSMUSG00000086638	RIKEN cDNA 4930405A21 gene [Source:MGI Symbol;Acc:MGI:1922096]	4930405A21Rik
ENSMUSG00000084833	predicted gene 12649 [Source:MGI Symbol;Acc:MGI:3649947]	Gm12649
ENSMUSG00000083607	predicted gene 12640 [Source:MGI Symbol;Acc:MGI:3649267]	Gm12640
ENSMUSG00000085824	RIKEN cDNA 2410114N07 gene [Source:MGI Symbol;Acc:MGI:1920946]	2410114N07Rik
ENSMUSG00000073797	predicted gene 12650 [Source:MGI Symbol;Acc:MGI:3649946]	Gm12650
ENSMUSG00000071952	predicted gene 10351 [Source:MGI Symbol;Acc:MGI:3642306]	Gm10351
ENSMUSG00000096837	predicted gene 12651 [Source:MGI Symbol;Acc:MGI:3649945]	Gm12651
ENSMUSG00000097101		
ENSMUSG00000075304	trans-acting transcription factor 5 [Source:MGI Symbol;Acc:MGI:1927715]	Sp5
ENSMUSG00000081685	predicted gene 12647 [Source:MGI Symbol;Acc:MGI:3649949]	Gm12647
ENSMUSG00000085931	predicted gene 12648 [Source:MGI Symbol;Acc:MGI:3649948]	Gm12648
ENSMUSG00000026958	dipeptidylpeptidase 7 [Source:MGI Symbol;Acc:MGI:1933213]	Dpp7
ENSMUSG00000092344	heat shock protein 1 (chaperonin 10), pseudogene 3 [Source:MGI Symbol;Acc:MGI:1935163]	Hspe1-ps3
ENSMUSG00000064194	zinc finger protein 936 [Source:MGI Symbol;Acc:MGI:3642994]	Zfp936
ENSMUSG00000092181	predicted gene 20432 [Source:MGI Symbol;Acc:MGI:5141897]	Gm20432
ENSMUSG00000072324	predicted gene 8420 [Source:MGI Symbol;Acc:MGI:3645594]	Gm8420
ENSMUSG00000083956	predicted gene 12361 [Source:MGI Symbol;Acc:MGI:3652291]	Gm12361
ENSMUSG00000074887	expressed sequence EU599041 [Source:MGI Symbol;Acc:MGI:3796554]	EU599041
ENSMUSG00000082196	predicted gene 14231 [Source:MGI Symbol;Acc:MGI:3652156]	Gm14231
ENSMUSG00000082709	predicted gene 12362 [Source:MGI Symbol;Acc:MGI:3652292]	Gm12362
ENSMUSG00000097562		
ENSMUSG00000081508	predicted gene 12654 [Source:MGI Symbol;Acc:MGI:3651710]	Gm12654
ENSMUSG00000027968	La ribonucleoprotein domain family, member 7 [Source:MGI Symbol;Acc:MGI:107634]	Larp7
ENSMUSG00000026443	leucine rich repeat protein 2, neuronal [Source:MGI Symbol;Acc:MGI:106037]	Lrrn2
ENSMUSG00000040752	myosin, heavy polypeptide 6, cardiac muscle, alpha [Source:MGI Symbol;Acc:MGI:97255]	Myh6
ENSMUSG00000027399	interleukin 1 alpha [Source:MGI Symbol;Acc:MGI:96542]	Il1a
ENSMUSG00000097066		
ENSMUSG00000086058	predicted gene 12575 [Source:MGI Symbol;Acc:MGI:3705119]	Gm12575
ENSMUSG00000082433	predicted gene 9025 [Source:MGI Symbol;Acc:MGI:3646679]	Gm9025
ENSMUSG00000074419	predicted gene 15448 [Source:MGI Symbol;Acc:MGI:3705216]	Gm15448
ENSMUSG00000098012		
ENSMUSG00000086402	predicted gene 15322 [Source:MGI Symbol;Acc:MGI:3705208]	Gm15322
ENSMUSG00000097118		
ENSMUSG00000003824	synaptonemal complex central element protein 2 [Source:MGI Symbol;Acc:MGI:1919096]	Syce2
ENSMUSG00000034911	Usher syndrome 1C binding protein 1 [Source:MGI Symbol;Acc:MGI:1922920]	Ushbp1
ENSMUSG00000074354	RIKEN cDNA 9230115E21 gene [Source:MGI Symbol;Acc:MGI:3027124]	9230115E21Rik
ENSMUSG00000028044	CDC28 protein kinase 1b [Source:MGI Symbol;Acc:MGI:1889208]	Cks1b
ENSMUSG00000086327	RIKEN cDNA 1700003F17 gene [Source:MGI Symbol;Acc:MGI:1923642]	1700003F17Rik
ENSMUSG00000097849		
ENSMUSG00000055003	leucine-rich repeats and transmembrane domains 2 [Source:MGI Symbol;Acc:MGI:2141485]	Lrtm2
ENSMUSG00000062939	signal transducer and activator of transcription 4 [Source:MGI Symbol;Acc:MGI:103062]	Stat4
ENSMUSG00000012640	zinc finger protein 715 [Source:MGI Symbol;Acc:MGI:1917180]	Zfp715
ENSMUSG00000033373	farnesyltransferase, CAAX box, beta [Source:MGI Symbol;Acc:MGI:1861305]	Fntb
ENSMUSG00000097659		
ENSMUSG00000034522	zinc finger protein 395 [Source:MGI Symbol;Acc:MGI:2682318]	Zfp395
ENSMUSG00000092510	predicted gene, 18343 [Source:MGI Symbol;Acc:MGI:5010528]	Gm18343
ENSMUSG00000097483		
ENSMUSG00000059244	predicted gene 10062 [Source:MGI Symbol;Acc:MGI:3641967]	Gm10062
ENSMUSG00000070667	ribosomal protein L31, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3650100]	Rpl31-ps10
ENSMUSG00000086493	predicted gene 12204 [Source:MGI Symbol;Acc:MGI:3650262]	Gm12204
ENSMUSG00000097033		
ENSMUSG00000074093	small VCP/p97-interacting protein [Source:MGI Symbol;Acc:MGI:1922994]	Svip
ENSMUSG00000025575	calcium activated nucleotidase 1 [Source:MGI Symbol;Acc:MGI:1923275]	Cant1
ENSMUSG00000086845	predicted gene 13010 [Source:MGI Symbol;Acc:MGI:3651180]	Gm13010
ENSMUSG00000090671	predicted gene 5067 [Source:MGI Symbol;Acc:MGI:3644982]	Gm5067
ENSMUSG00000098076		
ENSMUSG00000080941	predicted gene 16056 [Source:MGI Symbol;Acc:MGI:3802028]	Gm16056
ENSMUSG00000084800	predicted gene 12205 [Source:MGI Symbol;Acc:MGI:3650261]	Gm12205
ENSMUSG00000097146		
ENSMUSG00000086914	predicted gene 16124 [Source:MGI Symbol;Acc:MGI:3802001]	Gm16124
ENSMUSG00000018909	arrestin, beta 1 [Source:MGI Symbol;Acc:MGI:99473]	Arrb1
ENSMUSG00000082465	ribosomal protein S6, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3643565]	Rps6-ps3
ENSMUSG00000084141	olfactory receptor 1372, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3031206]	Olfr1372-ps1
ENSMUSG00000075302	glutamate rich 2 [Source:MGI Symbol;Acc:MGI:1913998]	Erich2
ENSMUSG00000097098		
ENSMUSG00000083175	predicted gene 12206 [Source:MGI Symbol;Acc:MGI:3650472]	Gm12206
ENSMUSG00000087476	RIKEN cDNA 1810058N05 gene [Source:MGI Symbol;Acc:MGI:1917058]	1810058N05Rik
ENSMUSG00000094445	RIKEN cDNA 1700015G11 gene [Source:MGI Symbol;Acc:MGI:1922779]	1700015G11Rik
ENSMUSG00000022529	zinc finger protein 263 [Source:MGI Symbol;Acc:MGI:1921370]	Zfp263
ENSMUSG00000040220	growth arrest specific 8 [Source:MGI Symbol;Acc:MGI:1202386]	Gas8
ENSMUSG00000074026	predicted pseudogene 6091 [Source:MGI Symbol;Acc:MGI:3648068]	Gm6091
ENSMUSG00000085823	predicted gene 13012 [Source:MGI Symbol;Acc:MGI:3652270]	Gm13012
ENSMUSG00000090074	predicted pseudogene 6921 [Source:MGI Symbol;Acc:MGI:3644183]	Gm6921
ENSMUSG00000096199	peptidyl-tRNA hydrolase domain containing 1 [Source:MGI Symbol;Acc:MGI:1916959]	Ptrhd1
ENSMUSG00000028876	Eph receptor A10 [Source:MGI Symbol;Acc:MGI:3586824]	Epha10
ENSMUSG00000054387	transformed mouse 3T3 cell double minute 4 [Source:MGI Symbol;Acc:MGI:107934]	Mdm4
ENSMUSG00000094530	predicted gene, 21399 [Source:MGI Symbol;Acc:MGI:5434754]	Gm21399
ENSMUSG00000031820	BRISC and BRCA1 A complex member 1 [Source:MGI Symbol;Acc:MGI:1915501]	Babam1
ENSMUSG00000089942	paired-Ig-like receptor A2 [Source:MGI Symbol;Acc:MGI:1195970]	Pira2
ENSMUSG00000027075	solute carrier family 43, member 1 [Source:MGI Symbol;Acc:MGI:1931352]	Slc43a1
ENSMUSG00000092552	predicted gene 4287 [Source:MGI Symbol;Acc:MGI:3782465]	Gm4287
ENSMUSG00000068228	vomeronasal 1 receptor, pseudogene 34 [Source:MGI Symbol;Acc:MGI:2148535]	Vmn1r-ps34
ENSMUSG00000028792	adenylate kinase 2 [Source:MGI Symbol;Acc:MGI:87978]	Ak2
ENSMUSG00000045731	prepronociceptin [Source:MGI Symbol;Acc:MGI:105308]	Pnoc
ENSMUSG00000086792	predicted gene 12364 [Source:MGI Symbol;Acc:MGI:3649785]	Gm12364
ENSMUSG00000089781	predicted gene 15756 [Source:MGI Symbol;Acc:MGI:3783199]	Gm15756
ENSMUSG00000063297	leucine zipper protein 2 [Source:MGI Symbol;Acc:MGI:1889615]	Luzp2
ENSMUSG00000097793		
ENSMUSG00000082762	predicted gene 12366 [Source:MGI Symbol;Acc:MGI:3649557]	Gm12366
ENSMUSG00000020299	RIKEN cDNA 4930524B15 gene [Source:MGI Symbol;Acc:MGI:1914842]	4930524B15Rik
ENSMUSG00000057370	ribosomal protein L21, pseudogene 12 [Source:MGI Symbol;Acc:MGI:3648214]	Rpl21-ps12
ENSMUSG00000084828	predicted gene 12367 [Source:MGI Symbol;Acc:MGI:3649554]	Gm12367
ENSMUSG00000033578	transmembrane protein 35 [Source:MGI Symbol;Acc:MGI:1914814]	Tmem35
ENSMUSG00000072894	protein phosphatase 1, regulatory (inhibitor) subunit 2, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3647847]	Ppp1r2-ps2
ENSMUSG00000061118	DnaJ (Hsp40) homolog, subfamily C, member 30 [Source:MGI Symbol;Acc:MGI:1913364]	Dnajc30
ENSMUSG00000025077	DNA cross-link repair 1A, PSO2 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1930042]	Dclre1a
ENSMUSG00000097292		
ENSMUSG00000041396	methyltransferase like 18 [Source:MGI Symbol;Acc:MGI:1917212]	Mettl18
ENSMUSG00000056812	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:MGI Symbol;Acc:MGI:106019]	St8sia3
ENSMUSG00000085624	predicted gene 14573 [Source:MGI Symbol;Acc:MGI:3705150]	Gm14573
ENSMUSG00000034714	tweety homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:2157091]	Ttyh2
ENSMUSG00000097182		
ENSMUSG00000036040	ADAMTS-like 2 [Source:MGI Symbol;Acc:MGI:1925044]	Adamtsl2
ENSMUSG00000020647	nuclear receptor coactivator 1 [Source:MGI Symbol;Acc:MGI:1276523]	Ncoa1
ENSMUSG00000081908	olfactory receptor 1147, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030981]	Olfr1147-ps1
ENSMUSG00000031665	sal-like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1889585]	Sall1
ENSMUSG00000097582		
ENSMUSG00000043614	vacuolar protein sorting 37D (yeast) [Source:MGI Symbol;Acc:MGI:2159402]	Vps37d
ENSMUSG00000097932		
ENSMUSG00000097346		
ENSMUSG00000032203	phosphatidylinositol glycan anchor biosynthesis, class B [Source:MGI Symbol;Acc:MGI:1891825]	Pigb
ENSMUSG00000051504	sialic acid binding Ig-like lectin H [Source:MGI Symbol;Acc:MGI:2443256]	Siglech
ENSMUSG00000097848		
ENSMUSG00000097828		
ENSMUSG00000074343	RIKEN cDNA 1700104A03 gene [Source:MGI Symbol;Acc:MGI:1920817]	1700104A03Rik
ENSMUSG00000071632	RIKEN cDNA 2510002D24 gene [Source:MGI Symbol;Acc:MGI:1919557]	2510002D24Rik
ENSMUSG00000002190	calmegin [Source:MGI Symbol;Acc:MGI:107472]	Clgn
ENSMUSG00000062933	predicted pseudogene 10123 [Source:MGI Symbol;Acc:MGI:3704342]	Gm10123
ENSMUSG00000023992	triggering receptor expressed on myeloid cells 2 [Source:MGI Symbol;Acc:MGI:1913150]	Trem2
ENSMUSG00000032661	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	Oas3
ENSMUSG00000020297	neuron specific gene family member 2 [Source:MGI Symbol;Acc:MGI:1202070]	Nsg2
ENSMUSG00000082744	predicted gene 15625 [Source:MGI Symbol;Acc:MGI:3783069]	Gm15625
ENSMUSG00000094790	predicted gene 6625 [Source:MGI Symbol;Acc:MGI:3647663]	Gm6625
ENSMUSG00000079469	phosphatidylinositol glycan anchor biosynthesis, class B [Source:MGI Symbol;Acc:MGI:1891825]	Pigb
ENSMUSG00000090270	predicted gene 17226 [Source:MGI Symbol;Acc:MGI:4938053]	Gm17226
